GName, Name, Catalog, GLong, GLat, Size, HII_Name, Group, GLong_Observed, GLat_Observed, VLSR, e_VLSR, FWHM, e_FWHM, T_L, e_T_L, T_e,Wavelength, Lines, Resolutiom, Telescope, Author, Molecular_Name, Molecular_GLong, Molecular_GLat, Molecular_VLSR, Molecule, Molecular_Author, Maser_VLSR, Maser_VLSR, Near, Far, Tangent, RGal, VT, KDAR, Distance, e_Distance, Distance_Reid, e_Distance_Reid, Distance_PDF, e_Distance_pos_PDF, e_Distance_neg_PDF, Azimuth, Z, Distance_Method, Distance_Author, Group_VLSR, Group_e_VLSR, Group_Distance, Group_e_Distance, Group_RGal, Group_KDAR, Group_Azimuth, Group_z, Group_Distance_Reid, Group_e_Distance_Reid, Group_RGal_Reid, Group_Azimuth_Reid, Group_z_Reid, Group_Distance_PDF, Group_e_Distance_pos_PDF, Group_e_Distance_neg_PDF, Group_RGal_PDF, Group_Azimuth_PDF, Group_z_PDF, HRDS_Flux, HRDS_e_Flux, HRDS_Size, HRDS_Flags,VGPS_Flux, VGPS_e_Flux, VGPS_Area, MAGPIS_Flux, MAGPIS_e_Flux, MAGPIS_Area,SUMSS_Flux
G000.003+00.127, S17, K,0.00351041,0.127687,206.696, S17, ,0.003,0.128, 7.5;-12.1, 0.1;0.1, 13.6;20.1, 0.2;0.3,       94.8000;89.9,      0.850000;0.6,0,5, H95-H117,3, GBT, Anderson et al. (2017), ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.008+00.036, , C,0.00892363,0.0363889,24.9627, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.025-00.232, , Q,0.0257919,-0.231194,46.2579, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.029-00.090, , Q,0.0296218,-0.0892722,31.5545, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.041+00.021, , C,0.0412153,0.0212847,20.44, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.043+00.013, , C,0.0439931,0.0139931,15.2886, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.052-00.205, , C,0.0528476,-0.20463,18.9106, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.079-00.211, , C,0.0795542,-0.210005,66.4564, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.079-00.626, , Q,0.0799903,-0.625347,92.1797, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.082-00.097, , C,0.0825829,-0.0960677,29.1777, , ,0,0, , , , , , ,0, , , , , , ,0,0, , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
G000.099-00.168, FQ100, C,0.0994619,-0.167864,15.8751, , ,0,0, , , , , , ,0, , , , , , 17432-2855,0.094,-0.154,16, CS, Bronfman  Nyman  & May (1996),0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0
