gname         alias          ra            dec           plx   e_plx mux    e_mux muy    e_muy vlsr e_vlsr ref        
G359.13+00.03 None           17:43:25.6109 -29:39:17.551 0.165 0.031 -3.980 0.360 -6.500 0.790   -1     10 52         
G359.93-00.14 None           17:46:01.9183 -29:03:58.674 0.181 0.029 -1.330 0.440 -1.800 0.780  -10     10 52         
G000.37+00.03 None           17:46:21.4012 -28:35:39.821 0.125 0.047 -0.770 0.280 -2.670 0.400   37     10 7          
G000.67-00.03 SgrB2          17:47:20.0000 -28:22:40.000 0.129 0.012 -0.780 0.400 -4.260 0.400   62      5 3          
G001.00-00.23 None           17:48:55.2845 -28:11:48.240 0.090 0.057 -3.870 0.280 -6.230 0.560    2      5 51         
G001.14-00.12 None           17:48:48.5410 -28:01:11.350 0.194 0.161  0.820 0.330 -3.590 0.690  -16      3 51         
G002.70+00.04 None           17:51:45.9766 -26:35:57.070 0.101 0.105 -3.130 0.870 -9.360 1.240   93      5 51         
G009.21-00.20 None           18:06:52.8421 -21:04:27.878 0.303 0.096 -0.410 0.450 -1.690 0.500   43      5 53         
G009.62+00.19 None           18:06:14.6600 -20:31:31.700 0.194 0.023 -0.580 0.130 -2.490 0.290    2      3 5          
G010.32-00.15 None           18:09:01.4549 -20:05:07.854 0.343 0.035 -1.030 0.360 -2.420 0.500   10      5 54,52      
G010.47+00.02 None           18:08:38.2290 -19:51:50.262 0.117 0.008 -3.860 0.190 -6.400 0.140   69      5 7          
G010.62-00.33 None           18:10:17.9849 -19:54:04.646 0.362 0.076 -0.360 0.390 -1.860 0.380   -6      5 52         
G010.62-00.38 None           18:10:28.5628 -19:55:48.738 0.202 0.019 -0.370 0.500 -0.600 0.250   -3      5 7          
G012.02-00.03 None           18:12:01.8400 -18:31:55.800 0.106 0.008 -4.110 0.110 -7.760 0.280  108      5 7          
G015.66-00.49 None           18:20:59.7470 -15:33:09.800 0.220 0.029 -1.160 0.240 -5.300 0.300   -4      5 59         
G016.86-02.15 None           18:29:24.4085 -15:16:04.141 0.426 0.092  0.320 0.490 -2.480 0.560   17      3 54         
